2026-05-04 10:31:07.819 | INFO     | tools.handle_replace:replace_mark:20 - 原字符串：{"principal": "lemon_python", "credentials": "12345678", "appType": 3, "loginType": 0}
2026-05-04 10:31:07.822 | INFO     | tools.handle_replace:replace_mark:25 - 需要替换的字符串：[]
2026-05-04 10:31:07.822 | INFO     | tools.handle_replace:replace_mark:20 - 原字符串：{"Content-Type":"application/json","Accept-Language":"zh"}
2026-05-04 10:31:07.822 | INFO     | tools.handle_replace:replace_mark:25 - 需要替换的字符串：[]
2026-05-04 10:31:07.822 | INFO     | tools.handle_replace:replace_mark:20 - 原字符串：http://shop.lemonban.com:8107/login
2026-05-04 10:31:07.822 | INFO     | tools.handle_replace:replace_mark:25 - 需要替换的字符串：[]
2026-05-04 10:31:07.822 | INFO     | tools.handle_requests:requests_api:78 - ==================接口的请求消息============================
2026-05-04 10:31:07.822 | INFO     | tools.handle_requests:requests_api:79 - 请求方法：post
2026-05-04 10:31:07.822 | INFO     | tools.handle_requests:requests_api:80 - 请求地址：http://shop.lemonban.com:8107/login
2026-05-04 10:31:07.822 | INFO     | tools.handle_requests:requests_api:81 - 请求参数：{'principal': 'lemon_python', 'credentials': '12345678', 'appType': 3, 'loginType': 0}
2026-05-04 10:31:07.822 | INFO     | tools.handle_requests:requests_api:82 - 请求头部：{'Content-Type': 'application/json', 'Accept-Language': 'zh'}
2026-05-04 10:31:08.027 | INFO     | tools.handle_requests:requests_api:103 - ==============================响应消息==========================
2026-05-04 10:31:08.027 | INFO     | tools.handle_requests:requests_api:104 - 响应状态码：200
2026-05-04 10:31:08.027 | INFO     | tools.handle_requests:requests_api:105 - 响应消息体：{"access_token":"5b8bae04-9696-4721-bb8c-25bb180d6915","token_type":"bearer","refresh_token":"c9673bdf-094e-4bbe-abc1-7597410d70b0","expires_in":1295999,"pic":"http://shop.lemonban.com:8108/2026/04/0d91fb06f83947eeaef19f1d14bde1b8.jpeg","userId":"03c0d87a5f7d473c9d78feb0450f2bff","nickName":"lemon_python","enabled":true}
2026-05-04 10:31:08.027 | INFO     | tools.handle_extract:extract_response:21 - 需要作提取处理Key：access_token
2026-05-04 10:31:08.028 | INFO     | tools.handle_extract:extract_response:28 - 需要作提取处理Value：5b8bae04-9696-4721-bb8c-25bb180d6915
2026-05-04 10:31:08.028 | INFO     | tools.handle_extract:extract_response:21 - 需要作提取处理Key：token_type
2026-05-04 10:31:08.028 | INFO     | tools.handle_extract:extract_response:28 - 需要作提取处理Value：bearer
2026-05-04 10:31:08.028 | INFO     | tools.handle_extract:extract_response:32 - 设置到环境变量类的值{'__module__': 'data.envi_data', '__dict__': <attribute '__dict__' of 'EnviData' objects>, '__weakref__': <attribute '__weakref__' of 'EnviData' objects>, '__doc__': None, 'access_token': '5b8bae04-9696-4721-bb8c-25bb180d6915', 'token_type': 'bearer'}
2026-05-04 10:31:08.028 | INFO     | tools.handle_assert:handle_assert:45 - --------开始响应断言---------
2026-05-04 10:31:08.028 | INFO     | tools.handle_replace:replace_mark:20 - 原字符串：{"$.nickName":"lemon_python","$.enabled":true}
2026-05-04 10:31:08.029 | INFO     | tools.handle_replace:replace_mark:25 - 需要替换的字符串：[]
2026-05-04 10:31:08.029 | INFO     | tools.handle_assert:handle_assert:52 - 期望结果的表达式是：{'$.nickName': 'lemon_python', '$.enabled': True}
2026-05-04 10:31:08.029 | INFO     | tools.handle_assert:handle_assert:69 - 用例执行结果：lemon_python
2026-05-04 10:31:08.029 | INFO     | tools.handle_assert:handle_assert:70 - 用例预期结果：lemon_python
2026-05-04 10:31:08.029 | INFO     | tools.handle_assert:handle_assert:71 - 断言通过！
2026-05-04 10:31:08.029 | INFO     | tools.handle_assert:handle_assert:69 - 用例执行结果：True
2026-05-04 10:31:08.029 | INFO     | tools.handle_assert:handle_assert:70 - 用例预期结果：True
2026-05-04 10:31:08.030 | INFO     | tools.handle_assert:handle_assert:71 - 断言通过！
2026-05-04 10:31:08.033 | INFO     | tools.handle_replace:replace_mark:20 - 原字符串：{"prodName":"真皮圆筒包"}
2026-05-04 10:31:08.033 | INFO     | tools.handle_replace:replace_mark:25 - 需要替换的字符串：[]
2026-05-04 10:31:08.033 | INFO     | tools.handle_replace:replace_mark:18 - ------没有读取要做替换字符串-------
2026-05-04 10:31:08.034 | INFO     | tools.handle_replace:replace_mark:20 - 原字符串：http://shop.lemonban.com:8107/search/searchProdPage
2026-05-04 10:31:08.034 | INFO     | tools.handle_replace:replace_mark:25 - 需要替换的字符串：[]
2026-05-04 10:31:08.034 | INFO     | tools.handle_requests:requests_api:78 - ==================接口的请求消息============================
2026-05-04 10:31:08.034 | INFO     | tools.handle_requests:requests_api:79 - 请求方法：get
2026-05-04 10:31:08.034 | INFO     | tools.handle_requests:requests_api:80 - 请求地址：http://shop.lemonban.com:8107/search/searchProdPage
2026-05-04 10:31:08.034 | INFO     | tools.handle_requests:requests_api:81 - 请求参数：{'prodName': '真皮圆筒包'}
2026-05-04 10:31:08.034 | INFO     | tools.handle_requests:requests_api:82 - 请求头部：None
